Stream no: 56--------------------------------------
1 96 4 592
1 96 12 1952
0 0 0 0
0 0 0 0
0 0 0 0
1 96 3 304
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 3 496
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 1201--------------------------------------
12 2997 17 4025
4 408 26 2520
1 96 6 672
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 15 2208
0 0 0 0
0 0 0 0
0 0 0 0
1 96 11 2184
0 0 0 0
1 96 4 584
0 0 0 0
1 96 3 632
1 96 4 392
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 3 496
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 1231--------------------------------------
12 2997 18 4121
4 408 27 2720
0 0 0 0
0 0 0 0
0 0 0 0
1 96 15 2208
1 96 6 752
0 0 0 0
1 96 11 2192
1 96 4 392
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 1265--------------------------------------
12 2997 17 4025
4 408 27 2696
1 96 5 672
1 96 5 672
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 1409--------------------------------------
12 2997 16 3937
4 408 27 3800
0 0 0 0
1 96 6 672
0 0 0 0
0 0 0 0
1 96 16 2288
0 0 0 0
1 96 3 496
0 0 0 0
1 96 4 592
0 0 0 0
1 96 4 392
0 0 0 0
0 0 0 0
1 96 5 472
Stream no: 1414--------------------------------------
12 2997 19 4201
4 408 26 2640
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 4 592
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 3 304
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 4 392
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 9 2008
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1 96 16 2520
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
