Stream no: 594--------------------------------------
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
6 356 5 480
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 304 4 592
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 2165--------------------------------------
27 3785 25 4449
26 1552 26 2528
0 0 0 0
0 0 0 0
0 0 0 0
6 356 5 664
0 0 0 0
0 0 0 0
0 0 0 0
11 616 10 2088
0 0 0 0
0 0 0 0
17 928 16 2616
0 0 0 0
0 0 0 0
8 460 7 752
0 0 0 0
0 0 0 0
6 356 5 672
0 0 0 0
4 252 3 304
0 0 0 0
4 252 3 304
0 0 0 0
6 356 5 536
16 876 15 2628
0 0 0 0
0 0 0 0
9 512 8 944
0 0 0 0
Stream no: 2197--------------------------------------
30 3977 25 4585
21 1256 24 2480
6 356 5 576
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
5 304 4 392
4 252 3 304
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
Stream no: 2405--------------------------------------
27 3785 25 4449
20 1240 28 2792
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
